"att_1","att_2","att_3","att_4","att_5","att_6","att_7","att_8","att_9","att_10","att_11","att_12","att_13","att_14","att_15","att_16","att_17","att_18","att_19","att_20","att_21","att_22","class"
0.030001,-0.046377,0.210059,-0.18864,0.310268,-0.130541,0.119641,-0.0699,0.076236,1,,,1,,,0.601697,0.446143,0.25,0.14419,0.000432,,,-1
0.095716,-0.051713,0.082111,-0.244796,0.141068,-0.020804,0.063353,-0.012967,0.004956,1,0.855148,,0.097067,0.4,,0.581274,0.135922,0.571429,0.165931,0.000758,,,-1
0.075712,-0.043479,0.073671,-0.072771,0.044752,-0.007042,0.007213,-0.001575,0.000643,1,0.854589,,0.096514,0.1,,0.552027,0.176314,0.285714,0.1649,0.000739,,,-1
0.037143,-0.033654,0.089523,-0.197039,0.190281,-0.04703,0.105358,-0.03615,0.023166,1,0.835459,,0.223071,0.1,0.1,0.535814,0.21481,0.4,0.105933,0.000126,,,-1
0.031428,-0.046061,0.199511,-0.320592,0.504289,-0.202913,0.33218,-0.185616,0.193619,1,,,0.310625,,,0.503664,0.269981,0.25,0.123345,0.000231,,,-1
0.037142,-0.001005,0.000158,-0.078613,0.002216,-0.000032,0.016339,-0.000164,0.000006,1,,0.730564,0.507699,,0.1,0.611339,0.253866,,0.322738,0.010849,,,-1
0.032856,-0.001934,0.000351,-0.000016,-0.000046,0.000001,0.00003,-0.000001,0,1,0.769726,,0.09963,,,0.612504,0.246198,0.166667,0.431861,0.034784,0.75,,-1
0.037142,-0.012289,0.011587,-0.005036,0.00172,-0.000151,0.000308,-0.000037,0.000008,1,0.830236,,0.099872,,,0.566227,0.321141,0.666667,0.308624,0.009072,,,-1
0.022858,-0.007582,0.007252,-0.19052,0.066044,-0.005864,0.157246,-0.019349,0.00445,1,,,1,,,0.541873,0.316018,0.25,0.137497,0.000357,,,-1
0.031428,-0.011576,0.012143,-0.150945,0.057398,-0.005588,0.071036,-0.009587,0.002417,1,,,0.500843,,0.1,0.566705,0.207709,,0.183507,0.001134,,,-1
0.03,-0.016542,0.025843,-0.095259,0.053946,-0.007822,0.029458,-0.005921,0.002224,1,0.827971,,0.214119,0.1,,0.53525,0.26529,0.2,0.180101,0.001052,,,-1
0.051429,-0.013741,0.010338,-0.091331,0.024839,-0.001732,0.015717,-0.001515,0.000273,1,0.806083,0.843854,0.182406,0.3,0.2,0.599024,0.213714,,0.228927,0.002747,,,-1
0.104283,-0.009732,0.002613,-0.000807,0.000022,0.000001,0.000034,-0.000001,0,1,0.855544,,0.098894,0.1,,0.553025,0.101514,0.083333,0.274858,0.005707,0.136364,,-1
0.075713,-0.016271,0.010004,-0.138688,0.030881,-0.001761,0.02502,-0.001976,0.000292,1,0.82824,0.841692,0.105804,0.1,0.1,0.525928,0.135086,,0.211747,0.00201,,,-1
0.032858,-0.042684,0.156185,-0.103763,0.137775,-0.046828,0.031802,-0.014999,0.013215,1,,,1,,,0.627663,0.512913,0.333333,0.139286,0.000376,,,-1
0.04143,-0.037045,0.092459,-0.193805,0.175543,-0.040689,0.087023,-0.027993,0.016816,1,0.822211,,0.100208,0.1,,0.644707,0.306796,0.5,0.155988,0.000592,,,-1
0.064286,-0.020198,0.017935,-0.071572,0.022966,-0.001889,0.007771,-0.000883,0.000188,1,0.848283,,0.099692,0.1,,0.560947,0.166314,0.125,0.211274,0.001992,,,-1
0.048571,-0.022246,0.029061,-0.149441,0.070704,-0.008575,0.044974,-0.007554,0.002373,1,0.773121,0.8304,0.222793,0.1,,0.54733,0.194727,,0.178187,0.001008,,,-1
0.034285,-0.02499,0.051451,-0.02726,0.020337,-0.003883,0.002139,-0.000566,0.00028,1,0.7747,,0.099703,0.1,,0.58427,0.306796,0.4,0.139558,0.000379,,,-1
0.048572,-0.025396,0.038334,-0.203409,0.111344,-0.015606,0.084427,-0.016409,0.005959,1,0.842846,0.836671,0.366292,0.2,0.1,0.531722,0.275377,0.166667,0.160741,0.000668,,,-1
0.035714,-0.023041,0.043084,-0.200408,0.135972,-0.023612,0.11192,-0.026967,0.012137,1,0.781509,0.739277,0.344332,0.1,,0.543256,0.353061,0.2,0.144361,0.000434,,,-1
0.03,-0.025738,0.062209,-0.13555,0.118897,-0.026687,0.059291,-0.018468,0.010742,1,0.771919,,0.100023,0.1,,0.556983,0.310281,0.25,0.145229,0.000445,,,-1
0.06857,-0.043617,0.078109,-0.082336,0.053485,-0.008894,0.009657,-0.002228,0.00096,1,0.851045,,0.09893,0.2,,0.618774,0.235813,0.333333,0.157564,0.000616,,,-1
0.065713,-0.028055,0.03386,-0.009992,0.004306,-0.000475,0.000189,-0.000029,0.000008,1,0.796274,,0.099107,0.1,,0.560774,0.198885,0.142857,0.156382,0.000598,,,-1
0.090002,-0.02215,0.015295,-0.077428,0.019294,-0.001234,0.006433,-0.000568,0.000094,1,0.859245,0.828205,0.08895,0.2,0.1,0.634575,0.160185,0.1,0.210552,0.001965,,,-1
0.044285,-0.020552,0.027115,-0.095467,0.045611,-0.005583,0.020086,-0.003405,0.001079,1,0.845468,0.832437,0.135628,,0.1,0.534414,0.209315,0.125,0.178728,0.00102,,,-1
0.027143,-0.030359,0.097103,-0.166286,0.19308,-0.057361,0.100076,-0.041272,0.031781,1,0.832233,,0.21347,,,0.541278,0.361912,0.25,0.126386,0.000255,,,-1
0.044285,-0.035255,0.080996,-0.221437,0.184572,-0.039386,0.109698,-0.032476,0.017963,1,0.826652,0.736972,0.164815,0.1,,0.523614,0.247839,,0.142275,0.00041,,,-1
0.012857,-0.028916,0.183012,-0.034866,0.080148,-0.047127,0.00945,-0.007718,0.011765,1,,,1,,,0.581832,0.293043,0.25,0.163455,0.000714,,,-1
0.038572,-0.074881,0.406764,-0.233181,0.459863,-0.232065,0.135538,-0.094957,0.124228,1,,,1,,,0.614026,0.414516,0.25,0.110124,0.000147,,,-1
0.032857,-0.057083,0.283084,-0.269637,0.485481,-0.223653,0.216963,-0.13877,0.165727,1,,,0.31288,0.1,,0.630232,0.361912,0.25,0.113789,0.000168,,,-1
0.06143,-0.025822,0.031695,-0.171877,0.076523,-0.008721,0.048245,-0.007627,0.002252,1,0.846576,0.847964,0.153173,0.2,0.1,0.54872,0.155823,,0.163265,0.000711,,,-1
0.030001,-0.044702,0.195434,-0.3059,0.485606,-0.197219,0.314359,-0.177271,0.186635,1,0.736069,,0.096718,,,0.563147,0.353197,0.5,0.112765,0.000162,,,-1
0.031429,-0.044582,0.177574,-0.083931,0.121355,-0.044886,0.021863,-0.011226,0.01076,1,0.833894,,0.100289,0.1,,0.562735,0.288484,,0.156607,0.000602,,,-1
0.024285,-0.040447,0.194954,-0.201098,0.352007,-0.157616,0.165621,-0.102986,0.119546,1,0.73706,,0.097956,0.1,,0.549333,0.390375,0.5,0.114183,0.00017,,,-1
0.029999,-0.002875,0.000815,-0.093819,0.009183,-0.000241,0.028528,-0.000987,0.000067,1,,0.825417,0.497575,,0.1,0.550183,0.261527,0.2,0.23803,0.00321,,,-1
0.052856,-0.004972,0.001494,-0.313618,0.030164,-0.000841,0.180171,-0.00615,0.000444,1,,,1,,,0.569655,0.264381,0.142857,0.216659,0.002203,,,-1
0.035715,-0.007552,0.004527,-0.103764,0.022369,-0.001244,0.029164,-0.00223,0.000321,1,,0.731882,0.628123,,,0.544035,0.307178,0.25,0.224725,0.00255,,,-1
0.05143,-0.006067,0.002077,-0.208089,0.025018,-0.000794,0.081379,-0.003468,0.000285,1,,0.769741,0.497985,,0.1,0.551943,0.261074,0.333333,0.208268,0.001881,,,-1
0.139998,-0.011543,0.002719,-0.242806,0.020426,-0.000446,0.040793,-0.001216,0.000069,1,0.828407,0.855396,0.498693,0.1,0.1,0.551885,0.10897,0.166667,0.220961,0.002384,,,-1
0.072859,-0.008433,0.002748,-0.063929,0.007453,-0.000224,0.005448,-0.000224,0.000017,1,0.845027,0.795946,0.26344,0.1,0.1,0.563752,0.198885,0.1,0.30462,0.008611,,,-1
0.085716,-0.007738,0.001971,-0.085719,0.007778,-0.000183,0.008259,-0.000264,0.000016,1,0.811981,0.815676,0.629852,0.1,0.2,0.523047,0.14384,0.083333,0.294713,0.007544,,,-1
0.09,-0.013269,0.005522,-0.107717,0.015984,-0.000616,0.012341,-0.000648,0.000064,1,0.791364,0.79485,0.512911,0.2,0.2,0.552489,0.161473,,0.279074,0.006066,,,-1
0.062858,-0.026598,0.031486,-0.34426,0.147423,-0.016208,0.180531,-0.027456,0.007823,1,0.82878,0.830147,0.22321,0.1,0.1,0.557153,0.259636,0.142857,0.174235,0.000922,,,-1
0.031429,-0.02158,0.041452,-0.003973,0.002716,-0.000475,0.000109,-0.000027,0.000012,1,0.773086,,0.100353,0.1,,0.565886,0.353197,,0.160526,0.000664,,,-1
0.037142,-0.037496,0.105213,-0.065379,0.066632,-0.017374,0.011252,-0.004074,0.002755,1,0.762951,,0.100597,0.1,,0.580351,0.368656,0.5,0.17824,0.001009,,,-1
0.025715,-0.023406,0.059366,-0.060869,0.056013,-0.01319,0.013832,-0.004519,0.002757,1,0.769741,,0.100694,0.1,,0.57541,0.327519,0.25,0.144734,0.000439,,,-1
0.015714,-0.02815,0.141317,-0.353632,0.644754,-0.300704,0.766115,-0.496226,0.600001,1,,,1,,,0.554135,0.661388,0.666667,0.088866,0.000062,,,-1
0.077142,-0.036059,0.047281,-0.000274,0.000055,0.000003,0.000111,-0.000019,0.000006,1,0.83635,,0.100169,0.2,,0.557213,0.152271,,0.178894,0.001024,0.125,,-1
0.032857,-0.029275,0.072599,-0.201302,0.18113,-0.041717,0.117856,-0.037663,0.022482,1,0.725133,,0.21632,,,0.550859,0.304542,0.2,0.142312,0.00041,,,-1
0.045716,-0.024193,0.035808,-0.251093,0.134835,-0.018532,0.132468,-0.02526,0.008997,1,0.824567,0.829989,0.367725,0.1,0.1,0.543529,0.326117,,0.149285,0.000497,,,-1
0.035715,-0.026481,0.054723,-0.072043,0.053989,-0.010354,0.014008,-0.003725,0.00185,1,0.829554,,0.100431,0.2,,0.554239,0.266715,,0.173475,0.000906,,,-1
0.241436,-0.015185,0.002697,-0.082602,0.005253,-0.000086,0.00273,-0.000061,0.000003,1,0.84764,0.828038,0.315654,0.4,0.3,0.558468,0.056312,,0.268245,0.005178,,,-1
0.03,-0.035129,0.114591,-0.122279,0.144773,-0.043854,0.047811,-0.020101,0.015779,1,0.82524,,0.100454,,,0.548553,0.414516,0.25,0.150916,0.000519,,,-1
0.038571,-0.047987,0.166274,-0.203613,0.256111,-0.082426,0.102917,-0.04598,0.038358,1,0.727646,,0.100597,0.1,,0.567791,0.328728,0.5,0.135942,0.000342,,,-1
0.045713,-0.023568,0.033931,-0.159272,0.083171,-0.011116,0.053266,-0.009874,0.003419,1,0.842671,0.72786,0.158873,,,0.534561,0.276973,0.166667,0.170911,0.000853,,,-1
0.06143,-0.023512,0.025255,-0.001907,0.000675,-0.000061,0.00007,-0.00001,0.000002,1,0.854746,,0.100147,0.3,,0.536846,0.251463,0.125,0.183721,0.001139,0.666667,,-1
0.054287,-0.044342,0.100912,-0.067691,0.055917,-0.01182,0.008216,-0.00241,0.00132,1,0.83557,,0.100064,0.1,,0.583019,0.254168,0.2,0.156733,0.000603,,,-1
0.058573,-0.062042,0.183428,-0.478006,0.513072,-0.140916,0.373989,-0.142602,0.101535,1,0.831098,,0.100371,0.2,,0.581494,0.239596,0.6,0.123034,0.000229,,,-1
0.037142,-0.038769,0.112842,-0.1206,0.127382,-0.034425,0.037602,-0.014102,0.009875,1,0.764889,,0.100767,,,0.569351,0.368656,,0.148171,0.000482,,,-1
0.037142,-0.030464,0.069852,-0.180087,0.1499,-0.031923,0.083891,-0.024801,0.01369,1,0.791779,,0.100236,0.1,,0.547288,0.276945,0.2,0.138978,0.000373,,,-1
0.047143,-0.040301,0.096256,-0.244366,0.211856,-0.046998,0.12157,-0.037435,0.021525,1,0.840149,,0.084397,0.2,,0.560767,0.21481,0.2,0.133345,0.000316,,,-1
0.045715,-0.058952,0.211876,-0.139481,0.181982,-0.06076,0.040825,-0.018922,0.016378,1,0.7292,,0.100362,,,0.574101,0.353061,0.75,0.122845,0.000228,,,-1
0.032857,-0.033889,0.097857,-0.107318,0.112485,-0.030163,0.033775,-0.012572,0.008736,1,0.83592,,0.100491,0.1,,0.527581,0.279253,0.4,0.13927,0.000376,,,-1
0.04,-0.039543,0.109026,-0.196361,0.196467,-0.050313,0.092312,-0.032805,0.021775,1,0.728446,,0.215868,0.1,,0.597727,0.23594,0.166667,0.130654,0.000291,,,-1
0.018571,-0.000413,0.000038,-0.296513,0.006905,-0.000059,0.467697,-0.003879,0.000086,1,,,1,,,0.553018,0.403834,0.666667,0.086758,0.000057,,,-1
0.038572,-0.004596,0.001593,-0.051289,0.006297,-0.000201,0.006875,-0.000297,0.000024,,,,0.503625,,,0.539241,0.274603,0.2,0.33956,0.013294,,,-1
0.027143,-0.00853,0.007698,-0.427651,0.138582,-0.011617,0.657224,-0.07565,0.016438,1,,,1,,,0.601586,0.565487,0.333333,0.131355,0.000298,,,-1
0.055714,-0.006855,0.002565,-0.306302,0.039535,-0.001375,0.166981,-0.007661,0.000691,1,,0.73489,0.508187,,,0.557538,0.175929,0.142857,0.201203,0.001639,,,-1
0.027143,-0.005492,0.003245,-0.308037,0.0656,-0.003598,0.34829,-0.026329,0.003741,1,,0.835472,0.506098,,0.1,0.555035,0.370883,0.25,0.11532,0.000177,,,-1
0.028572,-0.010249,0.010577,-0.282611,0.105535,-0.010111,0.275523,-0.036526,0.009067,1,,,0.505126,,0.1,0.563925,0.403834,0.333333,0.138502,0.000368,,,-1
0.057144,-0.005043,0.001301,-0.087558,0.007983,-0.00019,0.013251,-0.000426,0.000026,1,0.734917,0.855513,0.505385,,0.1,0.578784,0.201218,,0.274739,0.005697,,,-1
0.055715,-0.009061,0.004262,-0.146555,0.024808,-0.001081,0.038134,-0.002287,0.000258,1,0.731032,0.808283,0.507151,,0.2,0.579387,0.217197,0.142857,0.218592,0.002283,,,-1
0.037143,-0.011293,0.01008,-0.23848,0.077045,-0.006384,0.154005,-0.017663,0.003792,1,,0.842489,0.513707,,,0.544384,0.294524,0.166667,0.150167,0.000509,,,-1
0.04,-0.021719,0.033922,-0.101889,0.057609,-0.008354,0.025625,-0.005144,0.001933,1,,,0.994036,,,0.598221,0.300756,0.4,0.182736,0.001115,,,-1
0.044286,-0.016759,0.018223,-0.234087,0.092262,-0.009314,0.122063,-0.01708,0.004467,1,,0.829691,0.630274,,0.1,0.595478,0.336987,0.4,0.162072,0.00069,,,-1
0.031428,-0.019427,0.034615,-0.270428,0.174875,-0.028939,0.230411,-0.052917,0.022696,1,,,0.507165,,,0.59667,0.379232,0.25,0.134501,0.000327,,,-1
0.114284,-0.014953,0.005675,-0.001929,0.000219,-0.000006,0.000159,-0.000008,0.000001,1,0.844389,,0.098109,0.1,,0.564847,0.125105,0.181818,0.331389,0.01206,0.3,,-1
0.039999,-0.037261,0.1004,-0.431733,0.422253,-0.105694,0.4628,-0.160794,0.10434,1,,,0.135375,0.1,,0.585198,0.352628,0.5,0.12021,0.000209,,,-1
0.037143,-0.023565,0.042988,-0.187858,0.124362,-0.021066,0.093925,-0.022079,0.009692,1,0.826986,,0.223672,0.1,,0.552125,0.352628,0.2,0.161582,0.000682,,,-1
0.041428,-0.019002,0.025213,-0.000215,0.000041,0.000003,0.000065,-0.000011,0.000004,1,0.801157,,0.097804,0.1,,0.597126,0.293505,,0.18351,0.001134,,,-1
0.027142,-0.044838,0.213832,-0.475851,0.823876,-0.365012,0.826962,-0.508645,0.584228,1,,,1,,,0.539507,0.626578,0.666667,0.109241,0.000142,,,-1
0.025715,-0.030074,0.100618,-0.155813,0.189232,-0.058804,0.092811,-0.040036,0.032249,1,0.734406,,0.09879,0.1,,0.586598,0.414516,0.666667,0.13553,0.000337,,,-1
0.04857,-0.018173,0.019587,-0.151065,0.059017,-0.005904,0.046493,-0.006447,0.00167,1,0.799573,0.772772,0.649385,0.2,0.1,0.559913,0.224266,0.142857,0.180191,0.001054,,,-1
0.054287,-0.021385,0.024351,-0.191303,0.078947,-0.008347,0.066849,-0.009795,0.002683,1,0.800737,0.832615,0.411447,0.1,0.1,0.58902,0.213714,0.142857,0.16705,0.000779,,,-1
0.024285,-0.017883,0.037867,-0.091404,0.070212,-0.013803,0.033994,-0.009271,0.004722,1,0.842952,,0.098385,,,0.537,0.26529,0.2,0.156079,0.000593,,,-1
0.049999,-0.046606,0.124705,-0.242971,0.235877,-0.058619,0.116394,-0.040132,0.02585,1,,,1,,,0.589231,0.265405,0.2,0.142618,0.000414,,,-1
0.052856,-0.027875,0.042276,-0.038127,0.020929,-0.00294,0.002786,-0.000542,0.000197,1,0.852128,,0.098577,0.2,,0.587442,0.264381,0.166667,0.171506,0.000865,,,-1
0.065713,-0.027557,0.033199,-0.173883,0.076026,-0.008505,0.045564,-0.007074,0.002051,1,0.835427,0.739284,0.15611,0.1,,0.555462,0.204119,0.125,0.186536,0.001211,,,-1
0.015715,-0.041044,0.306341,-0.220217,0.596947,-0.413921,0.303107,-0.291892,0.524719,1,,,1,,,0.565167,0.591768,0.5,0.11496,0.000175,,,-1
0.028571,-0.037547,0.141787,-0.230382,0.315942,-0.110831,0.183693,-0.089489,0.081381,1,,,1,,,0.550153,0.230787,0.2,0.149722,0.000503,,,-1
0.044284,-0.029723,0.057541,-0.241221,0.169462,-0.030473,0.130113,-0.032467,0.015133,1,0.777268,0.735523,0.189731,0.1,,0.568835,0.21481,0.166667,0.135507,0.000337,,,-1
0.100002,-0.041233,0.049233,-0.327551,0.141934,-0.015739,0.106959,-0.01646,0.004731,1,0.793589,0.774908,0.179943,0.1,0.1,0.571313,0.137169,,0.177606,0.000995,,,-1
0.038571,-0.027401,0.0556,-0.083409,0.061404,-0.011565,0.01778,-0.004646,0.002267,1,0.810783,,0.098885,,,0.549543,0.228282,,0.16553,0.000751,,,-1
0.048573,-0.028535,0.04797,-0.147036,0.089674,-0.013995,0.043794,-0.009482,0.003834,1,0.845654,0.730851,0.156664,0.2,,0.557438,0.1835,,0.162415,0.000696,,,-1
0.031428,0.000029,0.000005,-0.11931,-0.000127,-0.000002,0.044902,0.000019,0.000001,,,,1,,,0.513267,0.219733,0.25,0.126955,0.00026,0.333333,,-1
0.044285,-0.000404,0.000058,-0.034202,0.000283,-0.000004,0.00267,-0.000007,0,1,,0.780717,0.511782,,0.2,0.595489,0.343612,0.2,0.453135,0.042161,,,-1
0.039999,-0.001101,0.000106,-0.04456,0.001226,-0.000011,0.005004,-0.000047,0.000001,1,,0.850604,0.505727,,0.1,0.583857,0.304376,,0.329053,0.011724,,,-1
0.022858,-0.007901,0.007912,-0.064873,0.023458,-0.002178,0.018321,-0.002348,0.000564,1,,,0.135828,0.1,,0.5415,0.392699,,0.232435,0.002919,,,-1
0.062859,-0.011208,0.00579,-0.220655,0.040917,-0.001961,0.076472,-0.00503,0.000624,1,,0.774558,0.505002,,0.1,0.540897,0.186168,0.4,0.210484,0.001963,,,-1
0.050001,-0.008494,0.004252,-0.101042,0.01788,-0.00083,0.02018,-0.001266,0.000152,1,0.737168,0.737202,0.165508,,,0.573359,0.261074,0.166667,0.28544,0.006638,,,-1
0.039999,-0.007447,0.004024,-0.020019,0.003857,-0.000191,0.001047,-0.000071,0.000009,1,0.84969,,0.098424,0.1,,0.571959,0.252103,0.333333,0.294519,0.007524,,,-1
0.055714,-0.012362,0.007841,-0.238112,0.054738,-0.003223,0.100017,-0.008161,0.001245,1,,0.774944,0.504455,,0.1,0.534507,0.167482,0.285714,0.16147,0.00068,,,-1
0.025715,-0.016233,0.029399,-0.191039,0.125419,-0.021094,0.13973,-0.032577,0.0142,1,,,0.135865,,,0.588255,0.403834,0.333333,0.160816,0.000669,,,-1
0.04,-0.020796,0.0312,-0.192692,0.104719,-0.014592,0.091854,-0.017729,0.006403,1,0.733137,,0.223043,,,0.52203,0.294524,0.25,0.174616,0.00093,,,-1
0.044286,-0.022463,0.032623,-0.438187,0.230973,-0.031162,0.426429,-0.07985,0.027929,1,,0.736103,0.502497,,0.1,0.533456,0.266715,0.25,0.118572,0.000198,,,-1
0.031428,-0.023497,0.049991,-0.239186,0.18476,-0.036518,0.17817,-0.048892,0.025052,1,,,0.499446,,,0.57443,0.42223,0.5,0.150863,0.000518,,,-1
0.054286,-0.013034,0.008946,-0.15981,0.039621,-0.00253,0.045902,-0.004049,0.000671,1,0.776836,0.772318,0.27596,0.1,,0.576562,0.25826,0.285714,0.177558,0.000994,,,-1
0.044287,-0.010408,0.007075,-0.00265,0.000599,-0.000034,0.000097,-0.000008,0.000001,1,0.818515,,0.09828,0.1,,0.546043,0.201839,0.142857,0.26789,0.00515,,,-1
0.035714,-0.021123,0.035909,-0.379621,0.2337,-0.036904,0.397245,-0.086869,0.03556,1,,,1,,,0.519262,0.245437,0.2,0.145439,0.000447,,,-1
0.050001,-0.019961,0.02284,-0.36592,0.151653,-0.016115,0.263037,-0.038714,0.010662,1,,0.834414,0.471049,,0.2,0.546835,0.209315,0.333333,0.14643,0.00046,,,-1
0.034285,-0.021446,0.038309,-0.196187,0.127148,-0.021094,0.110081,-0.025338,0.010895,1,0.732962,0.733566,0.165588,,,0.540972,0.274603,0.25,0.147387,0.000472,,,-1
0.034285,-0.021631,0.038901,-0.225814,0.14736,-0.024611,0.145685,-0.033761,0.014612,1,,,0.500339,,,0.539177,0.28768,0.25,0.154433,0.000569,,,-1
0.048573,-0.035233,0.073405,-0.002243,0.001713,-0.000335,0.000285,-0.000077,0.000039,1,0.797234,,0.098042,0.1,,0.627239,0.234967,0.4,0.201208,0.001639,,,-1
0.037142,-0.024671,0.04702,-0.167936,0.116027,-0.020539,0.074739,-0.01834,0.008415,1,0.734675,,0.078447,,,0.554659,0.232711,0.2,0.159032,0.00064,,,-1
0.025713,-0.02152,0.05123,-0.209429,0.180996,-0.040021,0.166682,-0.051165,0.029325,1,,,0.501233,,0.1,0.569248,0.361912,0.25,0.12954,0.000282,,,-1
0.031428,-0.027761,0.070104,-0.055282,0.050636,-0.011866,0.00969,-0.00315,0.001911,1,0.84619,,0.098835,0.1,,0.577044,0.344756,0.25,0.174686,0.000931,,,-1
0.144285,-0.019185,0.007322,-0.09857,0.013631,-0.000483,0.006749,-0.000331,0.00003,1,0.859765,0.778275,0.098282,0.3,0.1,0.547529,0.092391,0.142857,0.256709,0.004343,,,-1
0.055713,-0.015058,0.01165,-0.136659,0.038302,-0.002749,0.032988,-0.00328,0.000609,1,0.796675,0.85032,0.188973,0.1,0.2,0.530268,0.164973,0.111111,0.197657,0.001526,,,-1
0.032857,-0.029738,0.077002,-0.22556,0.211934,-0.05097,0.152086,-0.050754,0.031638,1,0.731903,,0.213685,0.1,,0.528925,0.34367,,0.137427,0.000357,,,-1
